Realisation number,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,Smax,AIC fold,AIC hopf,AIC null
1,0.0,1.00032469183196,0.9496703969251566,0.05065429490680329,,,,,,,,,,,,
1,0.5,1.0104842032447623,0.9496213492141744,0.06086285403058789,,,,,,,,,,,,
1,1.0,1.0202268481232508,0.9495241025618698,0.07070274556138101,,,,,,,,,,,,
1,1.5,1.0011483653558264,0.9493788154462762,0.05176954990955018,,,,,,,,,,,,
1,2.0,0.9608130722597058,0.9491850971799582,0.011627975079747555,,,,,,,,,,,,
1,2.5,0.9983807917823724,0.9489432689650743,0.049437522817298074,,,,,,,,,,,,
1,3.0,1.0168668587571288,0.9486539075804107,0.0682129511767181,,,,,,,,,,,,
1,3.5,0.9974019686568236,0.9483174160339216,0.04908455262290201,,,,,,,,,,,,
1,4.0,0.9481132638295137,0.9479349820045564,0.00017828182495727152,,,,,,,,,,,,
1,4.5,0.942576919628384,0.9475068596188686,-0.004929939990484633,,,,,,,,,,,,
1,5.0,0.9915213858732977,0.9470337584249381,0.04448762744835966,,,,,,,,,,,,
1,5.5,0.9456669666988827,0.9465167052489264,-0.000849738550043666,,,,,,,,,,,,
1,6.0,0.9597353161749185,0.9459566234047334,0.013778692770185064,,,,,,,,,,,,
1,6.5,0.9786748205714395,0.9453542208660058,0.03332059970543366,,,,,,,,,,,,
1,7.0,0.9619197527355396,0.9447102530256086,0.01720949970993102,,,,,,,,,,,,
1,7.5,1.0114687648554113,0.9440266360207896,0.06744212883462164,,,,,,,,,,,,
1,8.0,0.9259493286721149,0.9433044383909055,-0.017355109718790618,,,,,,,,,,,,
1,8.5,0.9449772240035128,0.9425434865196863,0.0024337374838264703,,,,,,,,,,,,
1,9.0,0.9969144716771199,0.9417458537793221,0.05516861789779781,,,,,,,,,,,,
1,9.5,0.966130135249763,0.9409132539396879,0.025216881310075046,,,,,,,,,,,,
1,10.0,0.9279280002753683,0.9400467572246668,-0.012118756949298537,,,,,,,,,,,,
1,10.5,0.8895806108434388,0.9391470699759975,-0.04956645913255875,,,,,,,,,,,,
1,11.0,0.9370935941383799,0.9382154968738063,-0.00112190273542645,,,,,,,,,,,,
1,11.5,0.9456266920442855,0.9372540174440831,0.008372674600202412,,,,,,,,,,,,
1,12.0,0.9374953400878381,0.9362639341448327,0.0012314059430054147,,,,,,,,,,,,
1,12.5,0.9661714063523454,0.9352456302266942,0.030925776125651283,,,,,,,,,,,,
1,13.0,0.9105480821453148,0.9342015046150601,-0.023653422469745333,,,,,,,,,,,,
1,13.5,0.9261016380524364,0.9331331433933405,-0.007031505340904132,,,,,,,,,,,,
1,14.0,0.8956025115328724,0.9320411105182554,-0.03643859898538304,,,,,,,,,,,,
1,14.5,0.9267933907664084,0.9309265460440156,-0.004133155277607159,,,,,,,,,,,,
1,15.0,0.971299652871175,0.9297910526008701,0.041508600270304896,,,,,,,,,,,,
